Time - Plot 0	Amplitude - Plot 0
0	250
1	259
2	248
3	253
4	254
5	252
6	254
7	253
8	254
9	252
10	253
11	258
12	251
13	252
14	255
15	253
16	254
17	253
18	256
19	258
20	253
21	250
22	266
23	256
24	258
25	258
26	254
27	259
28	271
29	254
30	259
31	261
32	254
33	257
34	259
35	260
36	268
37	257
38	275
39	258
40	256
41	264
42	262
43	267
44	267
45	282
46	258
47	263
48	264
49	264
50	259
51	262
52	262
53	261
54	263
55	261
56	268
57	264
58	274
59	261
60	260
61	268
62	264
63	263
64	278
65	271
66	266
67	264
68	261
69	271
70	264
71	265
72	266
73	267
74	265
75	266
76	269
77	269
78	265
79	265
80	275
81	271
82	265
83	269
84	263
85	263
86	264
87	266
88	265
89	266
90	275
91	263
92	264
93	266
94	266
95	268
96	265
97	271
98	266
99	266
100	267
101	267
102	264
103	273
104	266
105	272
106	269
107	270
108	267
109	275
110	271
111	265
112	276
113	269
114	276
115	263
116	268
117	266
118	264
119	263
120	264
121	262
122	267
123	264
124	272
125	262
126	268
127	266
128	273
129	265
130	265
131	266
132	282
133	262
134	267
135	264
136	267
137	276
138	269
139	263
140	267
141	263
142	264
143	265
144	265
145	272
146	261
147	281
148	262
149	270
150	269
151	263
152	260
153	266
154	265
155	267
156	266
157	267
158	274
159	270
160	264
161	270
162	281
163	269
164	263
165	271
166	273
167	273
168	268
169	274
170	276
171	264
172	273
173	267
174	263
175	263
176	268
177	265
178	270
179	276
180	279
181	276
182	262
183	267
184	262
185	263
186	269
187	265
188	264
189	276
190	271
191	271
192	266
193	265
194	267
195	268
196	274
197	289
198	275
199	268
200	269
201	262
202	272
203	263
204	279
205	270
206	267
207	283
208	279
209	267
210	272
211	268
212	270
213	266
214	274
215	270
216	266
217	273
218	273
219	271
220	267
221	272
222	286
223	283
224	269
225	270
226	274
227	267
228	269
229	276
230	271
231	270
232	269
233	278
234	275
235	272
236	274
237	271
238	278
239	280
240	273
241	272
242	273
243	275
244	275
245	275
246	283
247	283
248	283
249	283
250	282
251	288
252	284
253	289
254	282
255	294
256	287
257	289
258	294
259	287
260	293
261	296
262	292
263	286
264	290
265	295
266	292
267	289
268	291
269	293
270	284
271	292
272	291
273	286
274	287
275	284
276	289
277	290
278	300
279	309
280	297
281	292
282	287
283	295
284	287
285	285
286	288
287	290
288	287
289	288
290	287
291	287
292	295
293	289
294	277
295	277
296	281
297	282
298	283
299	278
300	276
301	280
302	275
303	310
304	278
305	308
306	276
307	278
308	276
309	289
310	280
311	287
312	277
313	275
314	282
315	272
316	281
317	278
318	278
319	277
320	275
321	276
322	273
323	279
324	290
325	276
326	281
327	278
328	278
329	279
330	290
331	284
332	276
333	278
334	277
335	311
336	283
337	293
338	279
339	288
340	275
341	286
342	280
343	280
344	275
345	284
346	284
347	281
348	282
349	278
350	278
351	281
352	280
353	282
354	288
355	284
356	281
357	280
358	283
359	284
360	284
361	286
362	286
363	285
364	281
365	291
366	285
367	287
368	289
369	290
370	287
371	298
372	287
373	281
374	294
375	295
376	299
377	294
378	290
379	298
380	293
381	291
382	291
383	290
384	291
385	294
386	291
387	306
388	294
389	296
390	290
391	298
392	300
393	293
394	301
395	296
396	293
397	305
398	302
399	296
400	295
401	295
402	306
403	306
404	299
405	303
406	303
407	297
408	293
409	307
410	300
411	300
412	302
413	304
414	318
415	304
416	308
417	310
418	311
419	307
420	308
421	305
422	307
423	305
424	320
425	311
426	303
427	308
428	307
429	310
430	309
431	316
432	313
433	315
434	318
435	314
436	316
437	322
438	313
439	313
440	317
441	312
442	320
443	325
444	334
445	333
446	325
447	327
448	356
449	333
450	327
451	328
452	329
453	339
454	330
455	339
456	344
457	338
458	335
459	345
460	346
461	341
462	363
463	350
464	358
465	352
466	352
467	358
468	359
469	365
470	367
471	369
472	373
473	385
474	386
475	379
476	379
477	387
478	386
479	401
480	395
481	397
482	400
483	401
484	402
485	404
486	417
487	414
488	409
489	414
490	422
491	429
492	430
493	434
494	438
495	442
496	434
497	441
498	451
499	437
500	448
501	456
502	457
503	448
504	471
505	457
506	462
507	466
508	475
509	465
510	482
511	465
512	470
513	480
514	481
515	484
516	490
517	483
518	487
519	491
520	489
521	501
522	496
523	505
524	511
525	497
526	515
527	504
528	512
529	503
530	507
531	516
532	505
533	511
534	523
535	517
536	516
537	514
538	518
539	521
540	515
541	524
542	537
543	517
544	525
545	522
546	517
547	521
548	538
549	521
550	526
551	525
552	515
553	523
554	528
555	513
556	504
557	517
558	519
559	513
560	514
561	514
562	514
563	494
564	509
565	503
566	506
567	500
568	490
569	493
570	499
571	498
572	503
573	489
574	494
575	481
576	475
577	484
578	472
579	481
580	472
581	470
582	467
583	459
584	453
585	449
586	448
587	451
588	451
589	439
590	442
591	438
592	433
593	440
594	435
595	428
596	424
597	420
598	430
599	417
600	407
601	413
602	412
603	410
604	413
605	401
606	401
607	398
608	403
609	407
610	396
611	389
612	391
613	388
614	387
615	383
616	383
617	379
618	372
619	369
620	378
621	374
622	370
623	374
624	361
625	369
626	368
627	364
628	363
629	355
630	356
631	357
632	362
633	356
634	350
635	358
636	345
637	349
638	351
639	346
640	347
641	354
642	346
643	344
644	344
645	347
646	341
647	340
648	338
649	343
650	334
651	377
652	340
653	337
654	334
655	338
656	338
657	334
658	334
659	327
660	331
661	334
662	331
663	330
664	334
665	340
666	332
667	334
668	333
669	334
670	333
671	335
672	331
673	335
674	327
675	330
676	332
677	333
678	340
679	331
680	335
681	328
682	337
683	339
684	333
685	336
686	335
687	334
688	331
689	338
690	328
691	335
692	330
693	329
694	331
695	330
696	327
697	326
698	350
699	325
700	324
701	327
702	338
703	332
704	326
705	331
706	324
707	316
708	324
709	327
710	323
711	331
712	324
713	324
714	318
715	326
716	324
717	321
718	319
719	321
720	315
721	316
722	315
723	317
724	311
725	304
726	308
727	308
728	309
729	310
730	301
731	306
732	304
733	307
734	304
735	306
736	305
737	306
738	302
739	303
740	302
741	305
742	312
743	305
744	294
745	301
746	299
747	296
748	294
749	296
750	289
751	298
752	293
753	289
754	292
755	284
756	291
757	289
758	290
759	289
760	289
761	287
762	284
763	287
764	283
765	287
766	286
767	294
768	284
769	285
770	280
771	285
772	283
773	303
774	282
775	288
776	279
777	285
778	282
779	283
780	283
781	283
782	282
783	280
784	281
785	282
786	284
787	287
788	288
789	285
790	277
791	281
792	281
793	274
794	279
795	279
796	281
797	280
798	279
799	279
800	276
801	279
802	278
803	281
804	278
805	275
806	273
807	278
808	288
809	277
810	278
811	273
812	275
813	278
814	282
815	268
816	285
817	275
818	277
819	278
820	279
821	280
822	285
823	310
824	276
825	272
826	323
827	286
828	277
829	273
830	272
831	278
832	278
833	282
834	279
835	278
836	275
837	271
838	273
839	277
840	276
841	289
842	274
843	272
844	276
845	273
846	279
847	276
848	278
849	270
850	277
851	274
852	275
853	278
854	276
855	276
856	283
857	273
858	273
859	272
860	282
861	278
862	277
863	271
864	274
865	274
866	275
867	275
868	273
869	275
870	276
871	273
872	273
873	273
874	278
875	275
876	273
877	284
878	279
879	279
880	275
881	272
882	287
883	276
884	277
885	277
886	275
887	277
888	286
889	277
890	277
891	275
892	275
893	282
894	272
895	362
896	280
897	271
898	274
899	288
900	273
901	273
902	291
903	272
904	276
905	276
906	284
907	272
908	271
909	276
910	281
911	277
912	281
913	273
914	274
915	277
916	281
917	281
918	280
919	274
920	276
921	276
922	281
923	281
924	278
925	274
926	281
927	279
928	271
929	273
930	276
931	277
932	276
933	275
934	275
935	277
936	271
937	279
938	279
939	278
940	278
941	275
942	288
943	273
944	273
945	277
946	272
947	274
948	285
949	271
950	281
951	276
952	273
953	287
954	278
955	285
956	271
957	286
958	274
959	287
960	277
961	275
962	287
963	275
964	280
965	275
966	278
967	279
968	280
969	288
970	279
971	278
972	279
973	279
974	279
975	282
976	278
977	277
978	285
979	280
980	289
981	276
982	288
983	278
984	281
985	283
986	280
987	283
988	275
989	279
990	280
991	279
992	283
993	279
994	284
995	277
996	281
997	282
998	280
999	282
1000	280
1001	280
1002	281
1003	280
1004	284
1005	288
1006	285
1007	289
1008	287
1009	280
1010	284
1011	283
