Time - Plot 0	Amplitude - Plot 0
0	251
1	259
2	247
3	253
4	250
5	249
6	251
7	249
8	254
9	252
10	248
11	252
12	247
13	255
14	254
15	253
16	252
17	253
18	252
19	258
20	251
21	253
22	265
23	253
24	255
25	255
26	255
27	259
28	268
29	249
30	255
31	261
32	251
33	253
34	253
35	258
36	264
37	251
38	266
39	253
40	251
41	259
42	262
43	265
44	266
45	280
46	253
47	258
48	265
49	259
50	259
51	257
52	258
53	255
54	259
55	257
56	260
57	259
58	267
59	258
60	254
61	259
62	260
63	262
64	272
65	264
66	259
67	256
68	261
69	267
70	255
71	255
72	258
73	255
74	259
75	255
76	262
77	259
78	266
79	262
80	269
81	259
82	257
83	257
84	259
85	258
86	258
87	256
88	263
89	260
90	265
91	259
92	259
93	259
94	256
95	261
96	261
97	264
98	260
99	259
100	261
101	259
102	259
103	263
104	262
105	262
106	259
107	263
108	260
109	267
110	259
111	260
112	274
113	264
114	269
115	258
116	258
117	261
118	260
119	256
120	259
121	259
122	259
123	259
124	257
125	258
126	264
127	259
128	267
129	257
130	260
131	260
132	279
133	262
134	256
135	260
136	261
137	266
138	263
139	259
140	262
141	255
142	258
143	256
144	260
145	266
146	254
147	272
148	255
149	263
150	262
151	254
152	261
153	254
154	262
155	259
156	257
157	258
158	262
159	261
160	257
161	258
162	272
163	259
164	255
165	264
166	258
167	268
168	260
169	259
170	271
171	260
172	260
173	263
174	258
175	256
176	256
177	261
178	263
179	264
180	272
181	265
182	254
183	258
184	257
185	260
186	259
187	259
188	256
189	264
190	262
191	259
192	263
193	263
194	257
195	256
196	264
197	283
198	265
199	256
200	263
201	258
202	261
203	256
204	270
205	259
206	251
207	268
208	271
209	257
210	259
211	256
212	256
213	252
214	261
215	256
216	255
217	263
218	259
219	257
220	261
221	261
222	275
223	273
224	258
225	259
226	261
227	258
228	259
229	263
230	259
231	259
232	259
233	262
234	265
235	256
236	262
237	260
238	261
239	267
240	259
241	259
242	260
243	264
244	259
245	262
246	266
247	274
248	268
249	269
250	268
251	270
252	271
253	271
254	276
255	274
256	270
257	271
258	281
259	276
260	280
261	284
262	280
263	274
264	272
265	278
266	273
267	275
268	276
269	279
270	274
271	276
272	274
273	275
274	270
275	277
276	275
277	275
278	287
279	287
280	274
281	273
282	275
283	280
284	271
285	269
286	271
287	272
288	273
289	271
290	270
291	270
292	279
293	270
294	261
295	262
296	269
297	264
298	269
299	261
300	262
301	262
302	259
303	292
304	266
305	294
306	261
307	264
308	262
309	272
310	260
311	265
312	260
313	258
314	265
315	256
316	262
317	260
318	259
319	265
320	261
321	263
322	261
323	263
324	270
325	263
326	262
327	264
328	256
329	259
330	271
331	267
332	262
333	259
334	258
335	295
336	263
337	269
338	259
339	271
340	255
341	269
342	262
343	260
344	259
345	259
346	262
347	262
348	260
349	260
350	261
351	263
352	263
353	259
354	262
355	261
356	257
357	262
358	258
359	259
360	261
361	262
362	264
363	261
364	256
365	262
366	259
367	259
368	259
369	261
370	260
371	265
372	259
373	261
374	269
375	269
376	266
377	264
378	259
379	261
380	258
381	256
382	258
383	261
384	259
385	260
386	265
387	272
388	263
389	260
390	260
391	265
392	271
393	260
394	264
395	259
396	259
397	266
398	263
399	260
400	257
401	263
402	271
403	263
404	262
405	268
406	263
407	264
408	255
409	259
410	255
411	263
412	258
413	257
414	271
415	257
416	263
417	268
418	257
419	267
420	264
421	262
422	262
423	261
424	273
425	260
426	263
427	261
428	260
429	260
430	260
431	264
432	260
433	263
434	261
435	264
436	260
437	263
438	260
439	257
440	260
441	259
442	259
443	264
444	276
445	269
446	263
447	261
448	291
449	258
450	259
451	263
452	260
453	267
454	260
455	264
456	265
457	263
458	256
459	262
460	266
461	257
462	271
463	265
464	267
465	258
466	261
467	261
468	259
469	260
470	263
471	265
472	260
473	273
474	265
475	265
476	261
477	268
478	266
479	278
480	261
481	261
482	262
483	262
484	266
485	260
486	264
487	265
488	260
489	263
490	258
491	264
492	261
493	264
494	275
495	275
496	260
497	260
498	274
499	264
500	269
501	267
502	260
503	261
504	276
505	271
506	266
507	263
508	273
509	269
510	271
511	262
512	261
513	260
514	270
515	263
516	270
517	260
518	266
519	261
520	267
521	265
522	263
523	263
524	273
525	260
526	266
527	266
528	266
529	262
530	261
531	266
532	264
533	263
534	264
535	275
536	262
537	262
538	266
539	265
540	262
541	268
542	282
543	261
544	264
545	261
546	263
547	262
548	276
549	259
550	260
551	264
552	264
553	259
554	262
555	266
556	255
557	262
558	266
559	263
560	260
561	265
562	263
563	261
564	274
565	259
566	258
567	259
568	262
569	260
570	262
571	262
572	277
573	262
574	264
575	259
576	259
577	264
578	261
579	271
580	268
581	259
582	261
583	261
584	258
585	258
586	264
587	260
588	263
589	255
590	259
591	258
592	261
593	263
594	261
595	256
596	261
597	263
598	272
599	260
600	263
601	262
602	263
603	267
604	266
605	259
606	270
607	261
608	272
609	276
610	260
611	257
612	263
613	262
614	263
615	260
616	260
617	263
618	262
619	259
620	260
621	262
622	263
623	262
624	262
625	264
626	270
627	263
628	264
629	264
630	261
631	259
632	264
633	263
634	258
635	267
636	259
637	262
638	263
639	256
640	260
641	263
642	262
643	263
644	264
645	270
646	263
647	262
648	261
649	261
650	264
651	296
652	261
653	259
654	262
655	264
656	263
657	263
658	264
659	258
660	259
661	266
662	262
663	263
664	264
665	266
666	264
667	260
668	261
669	264
670	267
671	266
672	263
673	267
674	269
675	268
676	266
677	272
678	279
679	273
680	275
681	276
682	279
683	279
684	280
685	276
686	277
687	274
688	270
689	282
690	274
691	274
692	277
693	278
694	278
695	276
696	278
697	273
698	297
699	275
700	271
701	281
702	284
703	277
704	275
705	281
706	278
707	273
708	274
709	271
710	280
711	284
712	276
713	276
714	273
715	280
716	280
717	278
718	270
719	272
720	269
721	276
722	274
723	272
724	269
725	266
726	268
727	269
728	270
729	273
730	264
731	262
732	265
733	269
734	264
735	261
736	266
737	265
738	266
739	264
740	261
741	265
742	275
743	267
744	265
745	261
746	264
747	261
748	268
749	265
750	260
751	270
752	262
753	260
754	266
755	258
756	259
757	267
758	269
759	263
760	264
761	261
762	260
763	263
764	261
765	263
766	261
767	271
768	263
769	259
770	261
771	264
772	265
773	284
774	262
775	267
776	262
777	268
778	268
779	267
780	266
781	264
782	264
783	263
784	262
785	265
786	266
787	270
788	269
789	267
790	261
791	267
792	264
793	259
794	264
795	264
796	263
797	264
798	267
799	265
800	263
801	264
802	262
803	271
804	258
805	262
806	263
807	263
808	278
809	261
810	266
811	261
812	260
813	266
814	265
815	259
816	272
817	263
818	264
819	264
820	264
821	270
822	268
823	298
824	264
825	259
826	307
827	275
828	264
829	260
830	267
831	265
832	266
833	271
834	272
835	267
836	265
837	260
838	259
839	265
840	270
841	275
842	264
843	261
844	265
845	269
846	266
847	265
848	266
849	260
850	265
851	264
852	262
853	262
854	260
855	270
856	269
857	265
858	263
859	263
860	273
861	269
862	267
863	261
864	268
865	267
866	264
867	260
868	264
869	262
870	265
871	262
872	258
873	260
874	265
875	268
876	264
877	272
878	270
879	276
880	262
881	261
882	277
883	266
884	264
885	264
886	268
887	265
888	276
889	271
890	267
