Time - Plot 0	Amplitude - Plot 0
0	547
1	627
2	518
3	580
4	539
5	556
6	552
7	544
8	584
9	566
10	562
11	587
12	547
13	579
14	610
15	602
16	569
17	586
18	575
19	599
20	581
21	556
22	695
23	594
24	618
25	589
26	629
27	638
28	728
29	603
30	615
31	674
32	633
33	630
34	658
35	702
36	741
37	622
38	799
39	640
40	640
41	713
42	760
43	774
44	763
45	910
46	681
47	701
48	752
49	721
50	691
51	711
52	717
53	689
54	703
55	688
56	721
57	720
58	803
59	693
60	707
61	728
62	717
63	744
64	870
65	768
66	720
67	731
68	740
69	826
70	719
71	696
72	724
73	709
74	720
75	720
76	751
77	722
78	751
79	741
80	813
81	755
82	720
83	739
84	740
85	708
86	743
87	698
88	750
89	722
90	790
91	740
92	722
93	755
94	723
95	777
96	744
97	775
98	727
99	742
100	777
101	738
102	731
103	790
104	744
105	750
106	728
107	744
108	720
109	823
110	741
111	723
112	830
113	796
114	840
115	714
116	745
117	731
118	724
119	707
120	715
121	715
122	750
123	717
124	719
125	697
126	736
127	725
128	807
129	708
130	730
131	739
132	877
133	738
134	716
135	711
136	760
137	806
138	1079
139	715
140	727
141	704
142	714
143	717
144	729
145	792
146	681
147	814
148	683
149	745
150	758
151	686
152	721
153	707
154	726
155	720
156	692
157	725
158	737
159	745
160	706
161	728
162	842
163	701
164	699
165	765
166	741
167	781
168	766
169	757
170	805
171	712
172	764
173	706
174	700
175	697
176	716
177	724
178	753
179	786
180	855
181	791
182	695
183	717
184	692
185	716
186	729
187	731
188	690
189	766
190	768
191	756
192	743
193	735
194	700
195	711
196	755
197	967
198	804
199	711
200	738
201	700
202	729
203	720
204	854
205	707
206	662
207	801
208	839
209	691
210	718
211	702
212	683
213	686
214	736
215	712
216	690
217	739
218	723
219	719
220	712
221	717
222	847
223	825
224	713
225	687
226	717
227	727
228	696
229	747
230	711
231	698
232	738
233	775
234	790
235	692
236	764
237	699
238	755
239	803
240	754
241	737
242	733
243	759
244	744
245	756
246	825
247	846
248	858
249	881
250	890
251	883
252	924
253	922
254	899
255	966
256	921
257	931
258	957
259	923
260	1017
261	1027
262	964
263	950
264	935
265	968
266	909
267	992
268	941
269	982
270	936
271	956
272	976
273	953
274	941
